Date_Time_MDT,LEann_mean,LEann_prctile50,LEann_prctile25,LEann_prctile75,LEann_CumSum_mean,LEann_CumSum_prctile50,LEann_prctile25singlemodel,LEann_CumSum_prctile25,LEann_prctile75singlemodel,LEann_CumSum_prctile75
25-Sep-2016,0.0198531612893089,0.0191876019958661,0.0159425920800858,0.0234483597138591,1.13131440718793,1.09973276943867,0.0233946626118285,1.37512662977483,0.0167243441704295,0.944338517203258
02-Oct-2016,0.00879324008257905,0.00864208298432306,0.00503253271715026,0.0123846713783934,4.25032285706325,4.25224231817096,0.00681929051568619,4.37081655953212,0.0106562957576234,4.04522898241619
09-Oct-2016,0.00577019075338927,0.0057789378814016,0.00329978862049522,0.00819829621830995,6.12347767205342,6.08895826948714,0.00494488914290048,5.66464122116316,0.00713233646141709,6.66954788993397
16-Oct-2016,0.00551954304189477,0.00501580595063041,0.000757480949071195,0.00948005381042082,8.42739143153039,8.43910211596973,0.00324956965063019,7.379122157935,0.00771289671951147,9.49921645213503
23-Oct-2016,0.00593726309703189,0.00589311206987894,0.00220026658358648,0.00947357357926683,10.1574192058986,9.91521419223798,0.00404834410569305,8.56480343344538,0.00695022203221569,11.8414859869064
30-Oct-2016,0.004436711651885,0.00428318106100435,0.000855361706932552,0.00802591909702333,12.0905448596242,11.8928691945029,0.00288856025959846,9.95902931110772,0.00680683968764329,14.2308096421934
06-Nov-2016,0.0020670702102288,0.00192326780844256,-0.000869408811873585,0.00506538421102232,12.9401492364587,12.6987992361682,0.00048542382340184,10.2247211328749,0.00367820304157005,15.7959031233846
13-Nov-2016,0.00254012196360884,0.0023891104274256,-0.00169326730189386,0.00659946770020415,13.6975561136737,13.5478853760211,0.000317167865289437,10.4066741792466,0.0063191270881783,17.3157399999049
20-Nov-2016,0.00298017859259786,0.00285964964143867,-0.0024608491952579,0.0079208087938581,14.6735406399802,14.297577756724,0.00198816111558708,10.7973088395481,0.00681462131066833,19.7226059061765
27-Nov-2016,0.00451177287590764,0.00405731269656048,-0.00116878589322274,0.00945293322293878,16.2794155528856,15.9839781103228,-0.000478045436950514,11.3589511660202,0.0106942228906865,23.0798620304031
04-Dec-2016,0.000536725997392227,0.000537555071172591,-0.00599926049557733,0.00640369247723151,16.8174261858421,16.5997946763486,-0.00268035702531991,10.4018166594718,0.00590966511053364,25.6559497220532
11-Dec-2016,0.00170813679680301,0.000825557072812232,-0.00894097367342755,0.009752327640835,16.9854554787251,17.2462585177137,-0.000972889635910896,10.0459065397687,0.00219764318110609,26.5912538917202
18-Dec-2016,0.000485917908119809,-8.72046723226158e-05,-0.00889027708169984,0.00748651558691373,17.2723920649748,17.374508764442,-0.00229775772289357,8.94384222203959,0.00222536853582179,27.7714699715522
25-Dec-2016,0.000292153936703926,-1.12731195991912e-05,-0.00809452789477507,0.00725893272078049,17.8295768115605,17.7937929494792,0.00010527542696992,8.96608636180087,0.0021591662894448,29.0114481898535
01-Jan-2017,-0.00109063438571033,-0.0013116013501065,-0.0128897934866819,0.00799149054232198,17.5186945781861,19.0263239958237,-0.00193225733348739,8.72895121753616,-0.00233162958216105,27.5599956712152
08-Jan-2017,0.00427911714261569,0.00356955283989615,-0.00511974055496937,0.0116913546720432,18.1096647183773,19.2868000600509,0.00369058161871701,8.92880252336866,0.0071969297265554,29.0100349338623
15-Jan-2017,0.00289670034688168,0.000483832425197285,-0.0112445650083157,0.0125143373416643,18.9826394610871,20.1652238749875,0.00119769389179734,9.75779654237097,-0.0018782341272806,30.2311576941271
22-Jan-2017,0.00365627153595211,0.00222457021617912,-0.00714458177102705,0.0118740050194095,20.5813174263128,23.964135998475,0.00272656018294485,10.4313406845107,0.00617577311510283,30.5194925782481
29-Jan-2017,-0.000143512707480993,-4.53159334834375e-05,-0.00894044208150877,0.00785995711136227,20.8325698720167,25.2293550169367,0.000683791272294949,10.9505091697088,-0.000865286463756725,31.5252575778518
05-Feb-2017,0.00606587320236209,0.00583371807665543,-0.00186256827988148,0.0130310420243139,21.9054801873963,27.4575064761161,0.00422404999644453,11.8389486789295,0.0082955431769441,32.6241233605192
12-Feb-2017,0.00335743321633112,0.0029911831094268,-0.00565835122754006,0.0108947146727093,23.5620715043184,29.5616319599743,0.00217679940135395,12.9869727158562,0.00417468139053611,35.3009397814045
19-Feb-2017,0.0116116419169494,0.0112044941827811,0.00441198664441025,0.0179895286670367,26.2976780147938,32.8426773658265,0.0102756489812994,15.4048047265978,0.0184047286452883,38.782134268394
26-Feb-2017,0.0099303759439907,0.00956919675424148,0.00328652411374574,0.0158136260374912,29.4830240450734,36.1087632578536,0.0091523567046126,18.1491894081525,0.0144212352269858,44.1415740381475
05-Mar-2017,0.0101822485774435,0.00973040037857851,0.00483984770877101,0.0149785076813669,33.3480389397749,39.1212892251697,0.00900923930916731,21.5248516490446,0.0142662479043898,49.4896248166476
12-Mar-2017,0.0070812954254375,0.00721482119990322,0.00456798352445066,0.00979384048169189,35.8617296860753,40.9402506493144,0.00672486284851409,23.9208868409159,0.00907273288994024,52.9202200923701
19-Mar-2017,0.0103028978630527,0.0103821613864355,0.00640734746058984,0.0142493848722271,38.510828894915,43.3354358372465,0.0100145075841473,26.4440377882277,0.0130546619415956,56.2669298716413
26-Mar-2017,0.0188852597008233,0.0173945396445119,0.0100044575929039,0.0257666227516661,43.2286053134498,49.1487618007894,0.0156208218423573,30.6611913519748,0.0207107132019311,61.9035845969165
